Internal Title,Display Title,Intro Point,Loop Point,Internal Series,Display Series
sammer kingdom,Sammer's Kingdom,12.566,74.783,mario,Mario
badeline fight,Confronting Myself,16.306,132.701,celeste,Celeste
MEGALOVANIA,MEGALOVANIA,0,-1,undertale,UNDERTALE
spear of justice,Spear of Justice,0,-1,undertale,UNDERTALE
sephiroth remake,One-Winged Angel Rebirth,11.097,611.5,other,Final Fantasy
zomboss,Brainiac Maniac,0,-1,pvz,Plants VS Zombies
dadbattle,Dad Battle,10.673,74.682,other,Friday Night Funkin'
